sxvyswqsz, 317, 要是说十个月我还能第一时间反应过来[吃瓜]
  |-->rsvzzsrst, 6, 早产儿[doge]
  |-->  |-->rvyqqwyx, 13, 回复 @有事电话海南橡胶阿克 :并不是，古时的十月怀胎其实是28天一个月，现代算法是40周，差不多9个月
  |-->yzzqszrz, 0, 哈哈哈
uzqyqxwqt, 139, 没看懂[无语]
  |-->szvzwytzr, 81, 意思是说她妈妈怀了九个月的孩子结果生下来她这个笑话
  |-->squwrurruw, 35, make在这可以被译为讲，但也可以直接译为制造
vszwsytrs, 122, make就是制造在这里面，而照道理其实joke后面应该带个r，joker，中文化讲就是儿化音[doge]
  |-->rqvwvyvys, 2, joker的意思不是小丑或者爱看玩笑的人吗你有加了个[doge]我都不知道你是不是在玩笑[笑哭][笑哭][笑哭]
  |-->tzwqtszvq, 2, 你就是个小丑和你就是个笑话
  |-->vsqyywxuq, 4, 这里应该就是joke，和前面your mom is so slow 呼应，并且u are a joke本来就有侮辱的意思
rwrvzsuytu, 57, 用九个月才制造出一个笑话，真的挺慢的[doge]
  |-->tvuszwzss, 3, 哦不，他指的是女的是个笑话
  |-->  |-->rwrvzsuytu, 2, 回复 @g8GXZKer :我知道[doge]
yywszvyt, 36, 意思是这个女的拒绝了男的的搭讪，然后被男的骂了？[tv_黑人问号][tv_呆]
  |-->rrytuwzwyr, 9, 不只是拒絕 還嘲諷了
  |-->szrtztyxr, 5, 这不是拒绝，这是嘲讽
  |-->vtwtxvsux, 3, 回复 @你猜这号是干什么用的 :有礼貌的搭讪等于找事，若只发言
ywsyvxwq, 36, yeah， and the joke is what you dream for， loser.
  |-->vxqxwxvt, 6, 哈哈哈哈哈哈这就钓到了[星星眼]
  |-->rwyvtqzwyt, 1, 我去，薄纱，真是一场势均力敌的对线啊[星星眼]
  |-->wvrzwwv, 1, 回复 @你猜这号是干什么用的 :sis代入了那个嘴剑正常搭讪的陌生人的剑女[笑哭]
tzsxtuqv, 22, 意思就是你妈妈认识你爸爸的时候是跟我一样的
  |-->tuzutxwuxuztxxuy, 5, 错，他的意思是他妈妈花了九个月就生下来她这一个小丑。
  |-->ryxxrvqq, 0, 你在解释什么东西
rsvwxrrstv, 19, 双关好评[脱单doge]
tuztqyzyvrsruxsy, 18, SIGMA MAN！
vrrqwtzqt, 16, 这是在嘲讽女的是个joke嘛[笑哭]
wzqqqtxvv, 13, 穆的是这样的，只允许自己没礼貌，不允许别人反击，毕竟双标是妇科病[笑哭]
  |-->vtwtxvsux, 0, 无敌了薄纱[星星眼]
wyxtwqrqt, 12, 可是我妈妈告诉我别便宜了别人，很明显你就是那样的人(你配不上我)
szrtztyxr, 11, A real sigma[打call]
  |-->你猜这号是干什么用的[1616937009], 1, sigma指受欢迎，成功，但高度独立，不会被公共道德约束，有自己的标准。独立强大不受人支配，强壮，孤独，在不触犯自己利益的情况下，同等尊重所有人。，不是小男生专属的耍帅工具[笑哭]
  |-->  |-->szrtztyxr, 3, 回复 @你猜这号是干什么用的 :图里这老哥难道不符合你这些描述吗？
  |-->  |-->  |-->tvqwyxtr, 1, 回复 @太美鸡一郎 :sigma作为经常被追求的个体，一般不会放下身段去追求别人，退一步讲也不会只因外表去追求一个人
twwrxtyz, 9, 看翻译没懂，看原字幕懂了
rtzuqrzt, 7, settle for less 不要将就[doge]她说我妈告诉我不要将就，如果找这个男的就是将就
  |-->vuzszwwwv, 0, 对，字幕翻译得太烂了
sqyuxsxzqy, 6, make a joke 讲/制作一个笑话
wvrrrryrq, 5, 你不加中文我应该就直接懂了[笑哭]
  |-->tuzxvyvyq, 0, 我不懂哥，给我解释一下呗
  |-->  |-->ruvtwqyvru, 1, 回复 @爱凯伦的痞老板 :九个月生了她这个笑话
  |-->  |-->wvrrrryrq, 0, 回复 @爱凯伦的痞老板 :“Make”a joke
rvzzyqxzt, 3, 我觉得人和人之间的交流应该多点友善吧
rurtyxyzvy, 2, 女的说的满足于此指的是什么
  |-->rtzuqrzt, 2, settle for less 不要将就[doge]她说我妈告诉我不要将就，如果找这个男的就是将就
  |-->  |-->rurtyxyzvy, 0, 回复 @短号的簧咲 :豁然开朗[doge]
  |-->你猜这号是干什么用的[1616937009], 0, 这翻译有问题
tuzutwtutqwvsvuw, 2, 意思就是讲她妈妈怀了九个月，然后生出来一个笑话
xurxzsu, 1, 怎么回事，看个段子还有不少魔怔人挑起对立呢[尼奈_汗颜]
xqryqzxts, 1, 嘲讽她是一个笑话
rxyxrtqwr, 0, 你这翻译了个寂寞
svxutxrwv, 0, make a joke 生了个比亚迪[脱单doge]
tvtxrqwxqwrqwxtu, 0, 英文直译过来就是他妈妈花了九个月生了个笑话
utxvuttwz, 0, 好双关
xutsvuwy, 0, 说她妈妈花了9个月生了个笑话[笑哭]
swtsqwtvq, 0, Too bad that your dream’s a joke[保卫萝卜_哇]
tuxwwttt, 0, 她妈妈九月就弄出来一个笑话[doge]
xqryqzxts, 0, 是生了一个笑话/笑柄
rswsqvxwsx, 0, 别吵，我在思考
